날짜,종가,시가,고가,저가,거래량,외국인 보유율
2023-09-17,117300.0,120300.0,122900.0,114100.0,12597500,51.0
2023-09-24,114700.0,115900.0,117700.0,112300.0,8480292,51.0
2023-10-01,120400.0,113000.0,122900.0,113000.0,14718643,51.0
2023-10-08,124700.0,122800.0,126300.0,119200.0,17095583,52.0
2023-10-15,126200.0,124700.0,130800.0,122400.0,23138515,52.0
2023-10-22,119100.0,126800.0,129000.0,117500.0,19734987,51.0
2023-10-29,125800.0,119100.0,127200.0,116300.0,15205442,52.0
2023-11-05,130500.0,125800.0,133500.0,125800.0,20076588,52.0
2023-11-12,129900.0,133000.0,134400.0,129100.0,13745494,52.0
2023-11-19,128000.0,129300.0,133300.0,128000.0,10337459,52.0
2023-11-26,132600.0,129200.0,133900.0,128400.0,14320909,52.0
2023-12-03,127500.0,133400.0,134600.0,124500.0,14965030,52.0
2023-12-10,140000.0,128700.0,140000.0,127300.0,22905094,53.0
2023-12-17,140600.0,139000.0,143700.0,138100.0,13879377,53.0
2023-12-24,141500.0,142000.0,142000.0,139200.0,7036039,53.0
2023-12-31,137500.0,139700.0,142800.0,135800.0,9914029,53.0
2024-01-07,134100.0,137500.0,139500.0,132100.0,15215184,53.0
2024-01-14,141300.0,134800.0,141300.0,129000.0,17348334,53.0
2024-01-21,136000.0,145200.0,145400.0,136000.0,17233613,53.0
2024-01-28,134900.0,135500.0,137800.0,131700.0,14911374,52.0
2024-02-04,142800.0,134900.0,143000.0,131700.0,17102037,53.0
2024-02-11,146800.0,146800.0,152700.0,144900.0,18125556,53.0
2024-02-18,161400.0,146200.0,166900.0,146000.0,24761808,54.0
2024-02-25,156200.0,158400.0,164800.0,153300.0,17490698,54.0
2024-03-03,171900.0,161000.0,174900.0,160700.0,19658315,54.0
2024-03-10,161200.0,165000.0,169700.0,158600.0,19381137,54.0
2024-03-17,169800.0,161200.0,173900.0,154100.0,27155099,54.0
2024-03-24,183000.0,170500.0,183900.0,168500.0,22218517,54.0
2024-03-31,182800.0,186400.0,190500.0,178200.0,21734986,54.0
2024-04-07,187400.0,183900.0,191400.0,180000.0,12777138,54.0
2024-04-14,173300.0,185400.0,188400.0,169500.0,23684892,54.0
2024-04-21,177800.0,170700.0,180200.0,167000.0,24916823,54.0
2024-04-28,173200.0,179100.0,180400.0,169000.0,12052375,54.0
2024-05-05,179900.0,179400.0,180900.0,175400.0,12329601,54.0
2024-05-12,189900.0,180000.0,194000.0,179000.0,13917664,54.0
2024-05-19,198600.0,192300.0,204000.0,188600.0,18485397,55.0
2024-05-26,189200.0,203500.0,210000.0,188200.0,18294031,55.0
2024-06-02,207500.0,189500.0,207500.0,188200.0,12494180,55.0
2024-06-09,221000.0,206000.0,226500.0,205000.0,16758957,56.0
2024-06-16,234000.0,219000.0,243000.0,219000.0,15868975,56.0
2024-06-23,236500.0,228000.0,239000.0,215000.0,22109879,56.0
2024-06-30,236000.0,233500.0,240500.0,225000.0,19010754,56.0
2024-07-07,233000.0,234000.0,248500.0,230000.0,20008250,55.0
2024-07-14,209500.0,235000.0,235500.0,207000.0,26701914,55.0
2024-07-21,191800.0,209000.0,212500.0,186100.0,38750563,54.0
2024-07-28,173200.0,195000.0,201500.0,172400.0,35129732,54.0
2024-08-04,171500.0,168000.0,172800.0,151600.0,43319817,54.0
2024-08-11,199700.0,174500.0,200000.0,172600.0,20028227,54.0
2024-08-18,185500.0,199900.0,202500.0,185400.0,20281748,54.0
2024-08-25,173700.0,187800.0,188500.0,167200.0,29082662,54.0
2024-09-01,156400.0,173600.0,174900.0,152900.0,25624033,53.0
2024-09-08,162800.0,151800.0,171300.0,150500.0,26282187,53.0
2024-09-15,157100.0,154700.0,160800.0,144700.0,22156912,53.0
2024-09-22,183800.0,155800.0,189300.0,155700.0,29011102,53.0
2024-09-29,174100.0,183700.0,183800.0,169100.0,13213464,54.0
2024-10-06,186000.0,178400.0,191200.0,176000.0,17693664,54.0
2024-10-13,187300.0,186900.0,198200.0,183600.0,21663797,54.0
2024-10-20,201000.0,189400.0,206000.0,187500.0,22136463,54.0
2024-10-27,182200.0,203500.0,205000.0,180500.0,19814378,54.0
2024-11-03,200500.0,185200.0,203000.0,183700.0,16598365,54.0
2024-11-10,178200.0,199300.0,199300.0,171700.0,20369390,54.0
2024-11-17,176700.0,173800.0,178200.0,168100.0,19391428,54.0
2024-11-24,159900.0,174500.0,179500.0,157600.0,21520916,54.0
2024-12-01,167100.0,162200.0,175600.0,158600.0,22546722,54.0
2024-12-08,175500.0,167100.0,177400.0,165000.0,18974245,54.0
2024-12-15,168500.0,177400.0,184500.0,167100.0,18152927,54.0
2024-12-22,174500.0,170000.0,176000.0,168300.0,9798807,54.0
2024-12-29,181900.0,174000.0,182700.0,170000.0,7769823,54.0
2025-01-05,203500.0,184400.0,212500.0,184400.0,30513348,55.0
2025-01-12,214500.0,203000.0,217500.0,193600.0,22477877,55.0
2025-01-19,221000.0,219000.0,227000.0,210500.0,22027539,55.0
2025-01-26,199200.0,197000.0,204500.0,194800.0,11871995,55.0
2025-02-02,203000.0,191500.0,206000.0,186900.0,24261623,55.0
2025-02-09,210000.0,197800.0,212000.0,196000.0,14325588,55.0
2025-02-16,209500.0,211500.0,219500.0,205500.0,13654929,55.0
2025-02-23,190200.0,202500.0,206000.0,188700.0,20114935,55.0
2025-03-02,192400.0,184800.0,194400.0,184000.0,14827645,55.0
2025-03-09,204500.0,187500.0,206000.0,181300.0,17308049,55.0
2025-03-16,208750.0,207000.0,209500.0,201000.0,10004979,55.0
