날짜,종가,시가,고가,저가,거래량,외국인 보유율
2023-09-25,117000.0,115900.0,117700.0,115700.0,2181722,51.83
2023-09-26,115000.0,117000.0,117200.0,113300.0,3237819,51.74
2023-09-27,114700.0,113000.0,115200.0,112300.0,3060751,51.71
2023-10-04,115400.0,113000.0,116600.0,113000.0,4447702,51.77
2023-10-05,120200.0,122900.0,122900.0,118100.0,6112858,52.02
2023-10-06,120400.0,120200.0,121600.0,119000.0,4158083,51.97
2023-10-10,119500.0,122800.0,124300.0,119500.0,5580659,52.02
2023-10-11,119200.0,123000.0,123900.0,119200.0,4293299,52.0
2023-10-12,124200.0,121100.0,124200.0,120500.0,4016352,52.07
2023-10-13,124700.0,123100.0,126300.0,122500.0,3205273,52.11
2023-10-16,124100.0,124700.0,125200.0,122400.0,3008476,52.08
2023-10-17,130000.0,125000.0,130800.0,123500.0,6411880,52.25
2023-10-18,130000.0,128600.0,130700.0,127200.0,4760148,52.18
2023-10-19,125700.0,127600.0,128900.0,125100.0,5089745,52.13
2023-10-20,126200.0,124300.0,127200.0,122800.0,3868266,52.17
2023-10-23,124000.0,126800.0,127200.0,123500.0,2432303,52.12
2023-10-24,126800.0,125400.0,127000.0,123900.0,2802010,52.11
2023-10-25,127500.0,127500.0,129000.0,126100.0,3053002,52.15
2023-10-26,120000.0,122100.0,124800.0,119500.0,5961584,52.03
2023-10-27,119100.0,119800.0,120900.0,117500.0,5486088,51.85
2023-10-30,119100.0,119100.0,121700.0,118700.0,2798497,51.97
2023-10-31,116300.0,119800.0,120900.0,116300.0,3166739,51.96
2023-11-01,120300.0,117900.0,120300.0,117000.0,2707225,52.02
2023-11-02,125300.0,123900.0,125400.0,123100.0,3736208,52.08
2023-11-03,125800.0,126500.0,127200.0,125000.0,2796773,52.17
2023-11-06,133000.0,125800.0,133000.0,125800.0,6923192,52.43
2023-11-07,130400.0,132000.0,133500.0,129300.0,4940510,52.41
2023-11-08,127600.0,131600.0,132700.0,126600.0,3328279,52.44
2023-11-09,128000.0,127700.0,129800.0,126700.0,2228081,52.56
2023-11-10,130500.0,127900.0,130800.0,127000.0,2656526,52.59
2023-11-13,131800.0,133000.0,134100.0,131000.0,2644761,52.66
2023-11-14,130000.0,133500.0,133500.0,130000.0,2589591,52.58
2023-11-15,134100.0,133900.0,134200.0,132100.0,3616292,52.68
2023-11-16,132300.0,133000.0,134400.0,131200.0,2456351,52.66
2023-11-17,129900.0,131500.0,132000.0,129100.0,2438499,52.63
2023-11-20,131400.0,129300.0,132000.0,129300.0,2004403,52.63
