날짜,종가,시가,고가,저가,거래량,외국인 보유율
2023-09-01,114700.0,121400.0,124400.0,112300.0,55439849,51.0
2023-10-01,116300.0,113000.0,130800.0,113000.0,80652964,51.0
2023-11-01,133900.0,117900.0,134400.0,117000.0,64079434,52.0
2023-12-01,141500.0,132200.0,143700.0,124500.0,62426762,53.0
2024-01-01,134700.0,139700.0,145400.0,129000.0,67136007,53.0
2024-02-01,156200.0,133100.0,166900.0,131700.0,84966626,54.0
2024-03-01,183000.0,161000.0,183900.0,154100.0,88413068,54.0
2024-04-01,174200.0,186400.0,191400.0,167000.0,89661708,54.0
2024-05-01,189200.0,169000.0,210000.0,169000.0,68531199,55.0
2024-06-01,236500.0,189500.0,243000.0,188200.0,67231991,56.0
2024-07-01,194600.0,233500.0,248500.0,185200.0,120093907,54.0
2024-08-01,173700.0,201500.0,202500.0,151600.0,132219760,54.0
2024-09-01,174600.0,173600.0,189300.0,144700.0,107933702,54.0
2024-10-01,186300.0,172700.0,206000.0,169100.0,86183779,54.0
2024-11-01,159900.0,182500.0,203000.0,157600.0,81358618,54.0
2024-12-01,173900.0,162200.0,184500.0,158600.0,70906903,54.0
2025-01-01,199200.0,170500.0,227000.0,170000.0,93226380,55.0
2025-02-01,190200.0,191500.0,219500.0,186900.0,72357075,55.0
2025-03-01,208750.0,184800.0,209500.0,181300.0,42140673,55.0
