날짜,종가,시가,고가,저가,거래량
2023-01-01,248.48,118.47,299.29,101.81,34343284319
2024-01-01,403.84,250.08,488.5399,138.8025,23901220966
2025-01-01,235.86,390.1,439.74,217.02,4686785696
